series,model,parameter,value
temperature_driver,Gaussian,mu,0.004626935939183486
temperature_driver,Gaussian,sigma,0.9619333921285353
temperature_driver,NIG,scipy_a,0.6159314156479256
temperature_driver,NIG,scipy_b,-0.06254000923713468
temperature_driver,NIG,loc,0.07944459265382103
temperature_driver,NIG,scale,0.733094658023577
temperature_driver,NIG,alpha,0.840179926161891
temperature_driver,NIG,beta,-0.08530959617921992
temperature_driver,NIG,delta,0.733094658023577
temperature_driver,NIG,mu,0.07944459265382103
price_marginal_driver,Gaussian,mu,1.910567324988376e-05
price_marginal_driver,Gaussian,sigma,0.6385848667898475
price_marginal_driver,NIG,scipy_a,0.32883950610635215
price_marginal_driver,NIG,scipy_b,-0.03176649349306762
price_marginal_driver,NIG,loc,0.03252355550909404
price_marginal_driver,NIG,scale,0.33488684641428934
price_marginal_driver,NIG,alpha,0.981942138448591
price_marginal_driver,NIG,beta,-0.0948573938725835
price_marginal_driver,NIG,delta,0.33488684641428934
price_marginal_driver,NIG,mu,0.03252355550909404
price_idiosyncratic_driver,Gaussian,mu,1.10153953551328e-05
price_idiosyncratic_driver,Gaussian,sigma,0.6386488270128549
price_idiosyncratic_driver,NIG,scipy_a,0.32903052701588
price_idiosyncratic_driver,NIG,scipy_b,-0.031805529020885175
price_idiosyncratic_driver,NIG,loc,0.032544431425439106
price_idiosyncratic_driver,NIG,scale,0.3350081939529935
price_idiosyncratic_driver,NIG,alpha,0.9821566545385684
price_idiosyncratic_driver,NIG,beta,-0.09493955549441858
price_idiosyncratic_driver,NIG,delta,0.3350081939529935
price_idiosyncratic_driver,NIG,mu,0.032544431425439106
