source_row,restart,family,root_idx,kind,real,imag,half_life_h,half_life_d,period_h
3,4,AR,0,real,-1.3578347211716604,0.0,0.510479787968477,0.02126999116535321,
3,4,AR,1,real,-0.598686475643586,0.0,1.1577799211428892,0.048240830047620385,
3,4,AR,2,real,-0.02127191725574578,0.0,32.585082586888994,1.3577117744537082,
3,4,AR,3,complex,-0.00553898362159163,0.2617993877991494,125.13977796539668,5.214157415224862,24.0
3,4,AR,4,complex,-0.00553898362159163,-0.2617993877991494,125.13977796539668,5.214157415224862,24.0
3,4,MA,0,real,-10.660514156867853,0.0,0.06502005159979991,0.0027091688166583296,
3,4,MA,1,real,-0.15291189191666812,0.0,4.532984137935376,0.18887433908064066,
3,4,MA,2,complex,-0.015442767562525174,0.2608244192209297,44.88490665636899,1.8702044440153747,24.089712634833678
3,4,MA,3,complex,-0.015442767562525174,-0.2608244192209297,44.88490665636899,1.8702044440153747,24.089712634833678
6,7,AR,0,real,-0.9696656144818006,0.0,0.7148311440644107,0.02978463100268378,
6,7,AR,1,real,-0.8153417222349465,0.0,0.8501308858081593,0.03542212024200664,
6,7,AR,2,real,-0.022284824639715227,0.0,31.103999774117266,1.2959999905882194,
6,7,AR,3,complex,-0.00553898362159163,0.2617993877991494,125.13977796539668,5.214157415224862,24.0
6,7,AR,4,complex,-0.00553898362159163,-0.2617993877991494,125.13977796539668,5.214157415224862,24.0
6,7,MA,0,real,-6.6059251059749355,0.0,0.1049281015815645,0.004372004232565187,
6,7,MA,1,real,-0.16748064958121536,0.0,4.13867024216324,0.17244459342346832,
6,7,MA,2,complex,-0.016064366385417757,0.2608214904000951,43.14811825937571,1.7978382608073211,24.089983143418518
6,7,MA,3,complex,-0.016064366385417757,-0.2608214904000951,43.14811825937571,1.7978382608073211,24.089983143418518
8,9,AR,0,real,-1.4094407943828982,0.0,0.4917887883778964,0.020491199515745684,
8,9,AR,1,real,-0.5837179988781277,0.0,1.1874692606569168,0.04947788586070487,
8,9,AR,2,real,-0.021270355123367602,0.0,32.58747569279904,1.35781148719996,
8,9,AR,3,complex,-0.00553898362159163,0.2617993877991494,125.13977796539668,5.214157415224862,24.0
8,9,AR,4,complex,-0.00553898362159163,-0.2617993877991494,125.13977796539668,5.214157415224862,24.0
8,9,MA,0,real,-13.092385140638937,0.0,0.052942773460613164,0.002205948894192215,
8,9,MA,1,real,-0.1513005813995571,0.0,4.58125920038252,0.19088580001593833,
8,9,MA,2,complex,-0.015463890012767519,0.2608471231816381,44.82359742520538,1.8676498927168907,24.08761588221296
8,9,MA,3,complex,-0.015463890012767519,-0.2608471231816381,44.82359742520538,1.8676498927168907,24.08761588221296
14,15,AR,0,real,-1.3641986195652367,0.0,0.508098432749366,0.021170768031223582,
14,15,AR,1,real,-0.5744017047234208,0.0,1.2067289753147608,0.05028037397144836,
14,15,AR,2,real,-0.020071072764883832,0.0,34.53463542679539,1.4389431427831412,
14,15,AR,3,complex,-0.00553898362159163,0.2617993877991494,125.13977796539668,5.214157415224862,24.0
14,15,AR,4,complex,-0.00553898362159163,-0.2617993877991494,125.13977796539668,5.214157415224862,24.0
14,15,MA,0,real,-9.475180553012132,0.0,0.07315398125469977,0.003048082552279157,
14,15,MA,1,real,-0.14464978692107566,0.0,4.791899077861364,0.19966246157755685,
14,15,MA,2,complex,-0.01533359039611425,0.260971668665515,45.20449305438592,1.8835205439327467,24.07612036704523
14,15,MA,3,complex,-0.01533359039611425,-0.260971668665515,45.20449305438592,1.8835205439327467,24.07612036704523
17,18,AR,0,real,-1.4087984422251842,0.0,0.49201302314412393,0.020500542631005165,
17,18,AR,1,real,-0.5906945059060812,0.0,1.1734444346942239,0.04889351811225933,
17,18,AR,2,real,-0.021476932860182023,0.0,32.27403023850914,1.3447512599378808,
17,18,AR,3,complex,-0.00553898362159163,0.2617993877991494,125.13977796539668,5.214157415224862,24.0
17,18,AR,4,complex,-0.00553898362159163,-0.2617993877991494,125.13977796539668,5.214157415224862,24.0
17,18,MA,0,real,-13.79893273019486,0.0,0.050231941419875095,0.0020929975591614624,
17,18,MA,1,real,-0.15386249548893152,0.0,4.504978151805737,0.1877074229919057,
17,18,MA,2,complex,-0.015518831297956788,0.2607388318335428,44.664908539292206,1.8610378558038418,24.097620070610766
17,18,MA,3,complex,-0.015518831297956788,-0.2607388318335428,44.664908539292206,1.8610378558038418,24.097620070610766
