restart,success,objective,loglik,acf_mse,message
1,True,-1.0588548515662606,-23384.812241713236,0.009799215254723704,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2,True,-1.0588548535092213,-23384.79426415673,0.009812864891801911,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,True,-1.0588548510624907,-23384.806653069387,0.009803469565426451,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
4,True,-1.0588548487725329,-23384.808076505724,0.009802410168519723,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
5,True,-1.05885484997397,-23384.820074551382,0.009793275552519336,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
6,True,-1.05885485331486,-23384.80012775257,0.009808408505247047,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
7,True,-1.0588548511645903,-23384.769205115106,0.00983194174567642,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
8,True,-1.093530213172587,-22940.64527727593,0.0007637899132587366,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
9,True,-1.058854853660631,-23384.791753622365,0.009814772238994589,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
10,True,-1.0588548500605148,-23384.76522704622,0.009834977473843723,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
11,True,-1.0588548527060477,-23384.78417693731,0.009820542646335903,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,True,-1.058854852788206,-23384.78880420977,0.00981702352148416,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
