threshold_scale,tail_quantile,event_definition,n_events,low_wind_rate_year_inv,high_wind_rate_year_inv,high_to_low_rate_ratio
5.0,0.1,all_negative_return_jump,2,0.0,1.078021166625646,
5.0,0.1,corrected_negative_low_price_spike,1,0.0,1.078021166625646,
5.0,0.1,all_positive_return_jump,55,40.87928281959966,2.156042333251292,0.052741686853116046
5.0,0.1,corrected_positive_high_price_spike,37,30.121576814441852,0.0,0.0
5.0,0.2,all_negative_return_jump,2,0.0,1.078021166625646,
5.0,0.2,corrected_negative_low_price_spike,1,0.0,1.078021166625646,
5.0,0.2,all_positive_return_jump,55,40.87928281959966,2.156042333251292,0.052741686853116046
5.0,0.2,corrected_positive_high_price_spike,53,40.87928281959966,0.0,0.0
4.0,0.1,all_negative_return_jump,13,2.1515412010315607,1.078021166625646,0.5010460251046025
4.0,0.1,corrected_negative_low_price_spike,2,0.0,1.078021166625646,
4.0,0.1,all_positive_return_jump,97,63.47046543043105,5.3901058331282306,0.084923055102475
4.0,0.1,corrected_positive_high_price_spike,47,35.50042981702075,0.0,0.0
4.0,0.2,all_negative_return_jump,13,2.1515412010315607,1.078021166625646,0.5010460251046025
4.0,0.2,corrected_negative_low_price_spike,2,0.0,1.078021166625646,
4.0,0.2,all_positive_return_jump,97,63.47046543043105,5.3901058331282306,0.084923055102475
4.0,0.2,corrected_positive_high_price_spike,93,63.47046543043105,2.156042333251292,0.033969222040989996
3.5,0.1,all_negative_return_jump,23,4.303082402063121,3.2340634998769384,0.7515690376569039
3.5,0.1,corrected_negative_low_price_spike,4,1.0757706005157803,2.156042333251292,2.00418410041841
3.5,0.1,all_positive_return_jump,123,78.53125383765197,8.624169333005169,0.10981830687224164
3.5,0.1,corrected_positive_high_price_spike,55,41.95505342011544,0.0,0.0
3.5,0.2,all_negative_return_jump,23,4.303082402063121,3.2340634998769384,0.7515690376569039
3.5,0.2,corrected_negative_low_price_spike,4,1.0757706005157803,2.156042333251292,2.00418410041841
3.5,0.2,all_positive_return_jump,123,78.53125383765197,8.624169333005169,0.10981830687224164
3.5,0.2,corrected_positive_high_price_spike,115,77.45548323713619,4.312084666502584,0.05567178056717805
3.0,0.1,all_negative_return_jump,36,5.378853002578902,5.3901058331282306,1.002092050209205
3.0,0.1,corrected_negative_low_price_spike,6,1.0757706005157803,3.2340634998769384,3.0062761506276154
3.0,0.1,all_positive_return_jump,168,96.81935404642024,10.780211666256461,0.11134356113435612
3.0,0.1,corrected_positive_high_price_spike,74,50.56121822424168,0.0,0.0
3.0,0.2,all_negative_return_jump,36,5.378853002578902,5.3901058331282306,1.002092050209205
3.0,0.2,corrected_negative_low_price_spike,7,1.0757706005157803,4.312084666502584,4.00836820083682
3.0,0.2,all_positive_return_jump,168,96.81935404642024,10.780211666256461,0.11134356113435612
3.0,0.2,corrected_positive_high_price_spike,151,93.5920422448729,4.312084666502584,0.046073197710768045
2.5,0.1,all_negative_return_jump,61,6.454623603094682,14.0142751661334,2.1711994421199443
2.5,0.1,corrected_negative_low_price_spike,13,2.1515412010315607,7.546148166379523,3.5073221757322184
2.5,0.1,all_positive_return_jump,246,130.16824266240943,15.092296332759046,0.11594453473494935
2.5,0.1,corrected_positive_high_price_spike,92,59.16738302836792,0.0,0.0
2.5,0.2,all_negative_return_jump,61,6.454623603094682,14.0142751661334,2.1711994421199443
2.5,0.2,corrected_negative_low_price_spike,15,2.1515412010315607,9.702190499630815,4.509414225941423
2.5,0.2,all_positive_return_jump,246,130.16824266240943,15.092296332759046,0.11594453473494935
2.5,0.2,corrected_positive_high_price_spike,198,118.33476605673584,4.312084666502584,0.03643971091669836
2.0,0.1,all_negative_return_jump,115,16.136559007736707,22.63844449913857,1.402928870292887
2.0,0.1,corrected_negative_low_price_spike,19,2.1515412010315607,9.702190499630815,4.509414225941423
2.0,0.1,all_positive_return_jump,383,165.6686724794302,31.26261383214374,0.18870564581861654
2.0,0.1,corrected_positive_high_price_spike,124,67.77354783249417,1.078021166625646,0.015906223019193727
2.0,0.2,all_negative_return_jump,115,16.136559007736707,22.63844449913857,1.402928870292887
2.0,0.2,corrected_negative_low_price_spike,26,2.1515412010315607,14.0142751661334,6.513598326359833
2.0,0.2,all_positive_return_jump,383,165.6686724794302,31.26261383214374,0.18870564581861654
2.0,0.2,corrected_positive_high_price_spike,271,144.15326046911457,7.546148166379523,0.05234809217510773
