branch,bin,wind_center,q05,q50,q95,mean
Constant covariance,1,0.014650000000000002,78.63225283136318,90.92538407162081,103.87086468771084,90.93377778678548
Constant covariance,2,0.04305,72.18130557893004,82.6563968808639,93.16564902622555,82.58584298479535
Constant covariance,3,0.073175,68.39150021825648,78.32344578577043,87.86167280235914,78.11986755635097
Constant covariance,4,0.106325,65.83192377453577,75.42144219837985,84.73224903343346,75.2379840151006
Constant covariance,5,0.14295,62.702276351847615,72.55796236023576,82.30909505497378,72.61429214328754
Constant covariance,6,0.1856,59.88450267188706,70.6020825476567,80.39943266455967,70.40017745479237
Constant covariance,7,0.2509,57.891049586943815,67.42195138515234,77.56837078921377,67.66493252563424
Constant covariance,8,0.51605,50.64231903246675,61.14167601742597,70.65008816236626,60.875169101789986
Stochastic covariance,1,0.014650000000000002,72.29496188170764,88.07784680794303,107.6210995476431,89.02620226747196
Stochastic covariance,2,0.04305,70.75068562263618,81.31804129417336,93.35754258066535,81.71486948888528
Stochastic covariance,3,0.073175,68.79268480592276,78.16328310136561,87.34209112998978,77.98076116008187
Stochastic covariance,4,0.106325,65.41943538070137,74.9556626687068,84.0301655066927,74.96276599299708
Stochastic covariance,5,0.14295,63.1557207091308,72.68594116410233,81.61241207552979,72.5144447296795
Stochastic covariance,6,0.1856,60.84363968918806,70.63576834891612,79.86177050906814,70.57859379020697
Stochastic covariance,7,0.2509,57.850744440181394,67.63588011311131,77.60172560967958,67.65943199471245
Stochastic covariance,8,0.51605,49.28261749351376,60.762185293764134,73.26183928877983,60.83044406075588
