parameter,value,block
wishart_alpha,12.62945092668705,wishart
wishart_selected_window_hours,2160.0,wishart
"wishart_A[spot_state,spot_state]",0.46556178916787416,wishart_A
"wishart_A[spot_state,wind_state]",0.02639296740760404,wishart_A
"wishart_A[wind_state,spot_state]",0.0,wishart_A
"wishart_A[wind_state,wind_state]",0.3273127440242587,wishart_A
"wishart_b[spot_state,spot_state]",-1.2695079122566928,wishart_b
"wishart_b[spot_state,wind_state]",-0.14290788781655173,wishart_b
"wishart_b[wind_state,spot_state]",-0.14290788781655173,wishart_b
"wishart_b[wind_state,wind_state]",-0.7781096664173223,wishart_b
"scale_matrix[spot_state,spot_state]",12.599506930218519,scale_matrix
"scale_matrix[spot_state,wind_state]",0.0,scale_matrix
"scale_matrix[wind_state,spot_state]",0.0,scale_matrix
"scale_matrix[wind_state,wind_state]",0.33880391004464555,scale_matrix
"wishart_ata[spot_state,spot_state]",0.2167477695331921,wishart_ata
"wishart_ata[spot_state,wind_state]",0.012287557127733526,wishart_ata
"wishart_ata[wind_state,spot_state]",0.012287557127733526,wishart_ata
"wishart_ata[wind_state,wind_state]",0.10783021112926874,wishart_ata
wishart_rho[spot_state],0.0010433749195906809,leverage
wishart_rho[wind_state],-0.000972417811195726,leverage
